Annotator A ID,Annotator B ID,Parition ID,Corpora ID,Sentence ID,Text,Annotator A Text,Annotator B Text,Length,Error,Alignment Score,Agreement
8,4,1,1,1464,Does NWA have a paid upgrade program like AS or UA? I checked thir website and there was nothing obvious.,Does NWA have a paid upgrade program like AS or UA? [I checked thir website and there was nothing obvious.],Does NWA have a paid upgrade program like AS or UA? [I checked thir website and there was nothing obvious.],105,0,1,1
8,4,1,1,1465,i am having a problem finding web sites that have multi city flights.is it better to book one way from each airport? thanks,[i am having a ]problem finding web sites that have multi city flights.is it better to book one way from each airport?[ thanks],[i am having a problem finding web sites that have multi city flights.is it better to book one way from each airport? thanks],123,101,0.1788617886,1
8,4,1,1,1466,"Would love to hear from you if you have any insight into the best way to plan my trip from Greensboro, North Carolina to Melbourne Australia in June 2011 via Honolulu, HI - airlines, days of travel, must see sights in Melbourne, etc. Any help would be appreciated. Thank you!","[Would love to hear from you if you have any insight into the] best way to plan my trip from Greensboro, North Carolina to Melbourne Australia in June 2011 via Honolulu, HI - airlines, days of travel, must see sights in Melbourne, etc. [Any help would be appreciated. Thank you!]","Would love to hear from you if you have any insight into the best way to plan my trip from Greensboro, North Carolina to Melbourne Australia in June 2011 via Honolulu, HI - airlines, days of travel, must see sights in Melbourne, etc. Any help would be appreciated. Thank you!",275,101,0.6327272727,0
8,4,1,1,1467,I have an international departure tomorrow. Any thoughts on how much extra time I should allow to get through security?,I have an international departure tomorrow.[ Any thoughts on ]how much extra time I should allow to get through security?,[I have an international departure tomorrow.] Any thoughts on how much extra time I should allow to get through security?,119,58,0.512605042,1
8,4,1,1,1468,"""Visionaries are building everything from sexy furniture to rainforest hotels out of airplane parts"" Its amazing what they can do with the old planes. Some creations are very ugly others are very creative and beautiful. cnngo.com/explorations/play/gallery-how-dead… Tommo","[""Visionaries are building everything from sexy furniture to rainforest hotels out of airplane parts"" Its amazing what they can do with the old planes. Some creations are very ugly others are very creative and beautiful. cnngo.com/explorations/play/gallery-how-dead… Tommo]","[""Visionaries are building everything from sexy furniture to rainforest hotels out of airplane parts"" Its amazing what they can do with the old planes. Some creations are very ugly others are very creative and beautiful. cnngo.com/explorations/play/gallery-how-dead… Tommo]",271,0,1,1
8,4,1,1,1470,I am a Diamond stratus person on Delta. I have flown on their partner airlines Air France and KLM several times over the last few months. Every occasion I have been treated poorly. They simply do not recognize the status of Delta Frequent Fliers. I would suggest you be aware of this. Has anyone had the same experience and have you found a way to help?,[I am a Diamond stratus person on Delta. I have flown on their partner airlines Air France and KLM several times over the last few months. Every occasion ]I have been treated poorly. They simply do not recognize the status of Delta Frequent Fliers. I would suggest you be aware of this. Has anyone had the same experience and have you found a way to help?,[I am a Diamond stratus person on Delta. I have flown on their partner airlines Air France and KLM several times over the last few months. Every occasion I have been treated poorly. ]They simply do not recognize the status of Delta Frequent Fliers. I would suggest you be aware of this. Has anyone had the same experience and have you found a way to help?,353,28,0.9206798867,1
8,4,1,1,1472,"I am booked on SWISS Airlines from Rome to Zurich in Economy. Their website says Economy passengers can have one carry-on bag. Does anyone know if that means I can carry my purse onboard, too, or do they mean ONE carry-on bag. Period. I booked this using United miles and SWISS Airlines as a partner airline. I know on United you can have one carry-on plus one additional personal item.","[I am booked on SWISS Airlines from Rome to Zurich in Economy. Their website says Economy passengers can have one carry-on bag. ]Does anyone know if that means I can carry my purse onboard, too, or do they mean ONE carry-on bag. Period. [I booked this using United miles and SWISS Airlines as a partner airline.] [I know on United you can have one carry-on plus one additional personal item.]","I am booked on SWISS Airlines from Rome to Zurich in Economy. Their website says Economy passengers can have one carry-on bag. Does anyone know if that means I can carry my purse onboard, too, or do they mean ONE carry-on bag. Period. [I booked this using United miles and SWISS Airlines as a partner airline. I know on United you can have one carry-on plus one additional personal item.]",386,127,0.670984456,1
8,4,1,1,1476,Hi how much does wi fi cost on emirates perth to london,[Hi ]how much does wi fi cost on emirates perth to london,Hi how much does wi fi cost on emirates perth to london,55,3,0.9454545455,0
8,4,1,1,1477,I am booking a ticket to Europe and I was going to purchase through cheapoair or cheap tickets but after reading the reviews I chose not too. Looking at google flights I am getting mixed reviews. Are they trust worthy? what has been your experience? TIA,[I am booking a ticket to Europe and I was going to purchase through cheapoair or cheap tickets but after reading the reviews I chose not too. ]Looking at google flights I am getting mixed reviews. Are they trust worthy? what has been your experience?[ TIA],[I am booking a ticket to Europe and I was going to purchase through cheapoair or cheap tickets but after reading the reviews I chose not too. ]Looking at google flights I am getting mixed reviews. Are they trust worthy? what has been your experience? TIA,253,4,0.9841897233,1
8,4,1,1,1479,I shall soon be travelling from London Heathrow to Hong Kong in British Airways WT+ on an Airbus 380-80. Can anyone please tell me in what order either by seating or cabin that disembarcation takes place.,[I shall soon be travelling from London Heathrow to Hong Kong in British Airways WT+ on an Airbus 380-80. ]Can anyone please tell me in what order either by seating or cabin that disembarcation takes place.,[I shall soon be travelling from London Heathrow to Hong Kong in British Airways WT+ on an ]Airbus 380-80. Can anyone please tell me in what order either by seating or cabin that disembarcation takes place.,204,15,0.9264705882,1
8,4,1,1,1480,"Hi! We are planning a trip to the US and will be flying sydney to la with virgin. We have enough points to get myself, my partner and 3 year old return in business but I'm worried it might not be a good option when flying with a child. Would anyone choose to fly cattle class if flying with a child over business???","[Hi! We are planning a trip to the US and will be flying sydney to la with virgin. ]We have enough points to get myself, my partner and 3 year old return in business but I'm worried it might not be a good option when flying with a child. Would anyone choose to fly cattle class if flying with a child over business???","[Hi! We are planning a trip to the US and will be flying sydney to la with virgin. We have enough points to get myself, my partner and 3 year old return in business but I'm worried it might not be a good option when flying with a child. ]Would anyone choose to fly cattle class if flying with a child over business???",315,154,0.5111111111,1
8,4,1,1,1483,"Today Ellemay wrote: “I however, like Qantas and apart from a few ""bad"" times mostly I find them to offer an excellent service..especially after you try some other airlines in the world.......I like my flying kangaroo ! I could write some wicked experiences I have had on other airlines but it would be zapped ......from TA quickly.....” A couple of days ago on this thread tripadvisor.com/ShowTopic-g1-i10702-k908667-… petite 001 wrote a long complaint about Mexicana. While I didn’t think the vehemence of her complaint was actually justified I still don’t understand why TA saw fit to remove her post. At other times I have seen really spurious and damaging complaints about small accommodation houses and restaurants left uncensored. I would really like to know the criteria which TA uses for deleting these sorts of posts.","[Today Ellemay wrote: “I however, like Qantas and apart from a few ""bad"" times mostly I find them to offer an excellent service..especially after you try some other airlines in the world.......I like my flying kangaroo ! I could write some wicked experiences I have had on other airlines but it would be zapped ......from TA quickly.....” ]A couple of days ago on this thread tripadvisor.com/ShowTopic-g1-i10702-k908667-… petite 001 wrote a long complaint about Mexicana. While I didn’t think the vehemence of her complaint was actually justified I still don’t understand why TA saw fit to remove her post.[ At other times I have seen really spurious and damaging complaints about small accommodation houses and restaurants left uncensored. ]I would really like to know the criteria which TA uses for deleting these sorts of posts.","[Today Ellemay wrote: “I however, like Qantas and apart from a few ""bad"" times mostly I find them to offer an excellent service..especially after you try some other airlines in the world.......I like my flying kangaroo ! I could write some wicked experiences I have had on other airlines but it would be zapped ......from TA quickly.....” A couple of days ago on this thread tripadvisor.com/ShowTopic-g1-i10702-k908667-… petite 001 wrote a long complaint about Mexicana. While I didn’t think the vehemence of her complaint was actually justified I still don’t understand why TA saw fit to remove her post. At other times I have seen really spurious and damaging complaints about small accommodation houses and restaurants left uncensored. ]I would really like to know the criteria which TA uses for deleting these sorts of posts.",827,265,0.6795646917,1
8,4,1,1,1484,"Would appreciate advice on best cities for an open jaw in and out of Italy... Rome, Florence, Venice, Pompeii, Capri, Cinque Terra and Tuscany are the main destinations. Milan seems to come up as a city to fly into-- but we wouldn't be spending time there. However would consider it if the price was right.","[Would appreciate advice on ]best cities for an open jaw in and out of Italy... Rome, Florence, Venice, Pompeii, Capri, Cinque Terra and Tuscany are the main destinations. Milan seems to come up as a city to fly into-- but we wouldn't be spending time there. However would consider it if the price was right.","Would appreciate advice on best cities for an open jaw in and out of Italy... Rome, Florence, Venice, Pompeii, Capri, Cinque Terra and Tuscany are the main destinations. [Milan seems to come up as a city to fly into-- but we wouldn't be spending time there. However would consider it if the price was right.]",306,163,0.4673202614,1
