Annotator A ID,Annotator B ID,Parition ID,Corpora ID,Sentence ID,Text,Annotator A Text,Annotator B Text,Length,Error,Alignment Score,Agreement
2,4,1,3,4001,want to fly to GSP from SMF then to tampa and back to sacramento do I have to book one way tickets for all of those?,want to fly to GSP from SMF then to tampa and back to sacramento do I have to book one way tickets for all of those?,want to fly to GSP from SMF then to tampa and back to sacramento do I have to book one way tickets for all of those?,116,0,1,1
2,4,1,3,4002,I will be traveling in May and would like to use my cname- points for an upgrade. Problem is I don't have any information regarding how many points I have. My name is ----------------------is it possi,[I will be traveling in May and would like to use my cname- points for an upgrade. Problem is ]I don't have any information regarding how many points I have. [My name is ----------------------is it possi],I will be traveling [in May ]and would like to use my cname- points for an upgrade. [Problem is] I don't have any information regarding how many points I have. [My name is ----------------------is it possi],200,72,0.64,1
2,4,1,3,4003,"The email said I was changed to a flight 3 hours earlier. -- 4137 departs at 10:17am, the new flight departs at 7:56am. I do not understand why.","The email said I was changed to a flight 3 hours earlier. [-- 4137 departs at 10:17am, the new flight departs at 7:56am. ]I do not understand why.","[The email said ]I was changed to a flight 3 hours earlier. -- 4137 departs at 10:17am, the new flight departs at 7:56am. I do not understand why.",144,77,0.4652777778,1
2,4,1,3,4004,"I flew in December and I attempted to move previous reservation to my new mileage account and I thought I was successful, however it now appears that none of those flights were moved and I did not","[I flew in December and ]I attempted to move previous reservation to my new mileage account [and I thought I was successful, ]however it now appears that none of those flights were moved [and I did not]","[I flew in December and ]I attempted to move previous reservation to my new mileage account and I thought I was successful, however it now appears that none of those flights were moved [and I did not]",196,32,0.8367346939,1
2,4,1,3,4005,I paid for upgrade but doesn't show on my check in confirmation,I paid for upgrade but doesn't show on my check in confirmation,I paid for upgrade but doesn't show on my check in confirmation,63,0,1,1
2,4,1,3,4006,"Please let me know that, how can I reschedule my flight to Beijing China","[Please] let me know that, how can I reschedule my flight [to Beijing China]","[Please let me know that, ]how can I reschedule my flight to Beijing China",72,34,0.5277777778,1
2,4,1,3,4007,"Hello, my flight was recently cancelled. Due to the inconvenience, will cname- provide any compensation?","[Hello, ]my flight was recently cancelled. [Due to the inconvenience, ]will cname- provide any compensation?","[Hello, ]my flight was recently cancelled. Due to the inconvenience, will cname- provide any compensation?",104,26,0.75,1
2,4,1,3,4008,"As you can see from the enclosed mail below, we have ordered a trip on your flight to Governor?s Harbour , Bahamas for 5 persons. The youngest kid Magnus Lerdal is not coming with us to Bahams so we","As you can see from the enclosed mail below, we have ordered a trip on your flight to Governor?s Harbour , Bahamas for 5 persons. The youngest kid Magnus Lerdal is not coming with us to Bahams so we","[As you can see from the enclosed mail below,] we have ordered a trip on your flight to Governor?s Harbour , Bahamas for 5 persons. [The youngest kid ]Magnus Lerdal is not coming with us[ to Bahams so we]",198,77,0.6111111111,0
2,4,1,3,4009,how much is it to fly a dog from bwi to smf in cargo,how much is it to fly a dog from bwi to smf in cargo,how much is it to fly a dog from bwi to smf in cargo,52,0,1,1
2,4,1,3,4010,Hello. Would you please tell me if there are individual televisions on flight --1143?,[Hello. ]Would you please tell me if there are individual televisions on flight --1143?,[Hello. ]Would you please tell me if there are individual televisions on flight --1143?,85,0,1,1
