Annotator A ID,Annotator B ID,Parition ID,Corpora ID,Sentence ID,Text,Annotator A Text,Annotator B Text,Length,Error,Alignment Score,Agreement
3,7,2,2,7506,what is the price for round trip between toronto and new york,what is the price for round trip between toronto and new york,what is the price for round trip between toronto and new york,61,0,1,1
3,7,2,2,7507,trying to find a good deal and good timing to go from New york to Baltimore (BWI),trying to find a good deal [and good timing ]to go from New york to Baltimore (BWI),[trying to find a ]good deal and good timing to go from New york to Baltimore (BWI),81,33,0.5925925926,1
3,7,2,2,7509,trying to plan route penn ny to montgomery ny. can you help me?,trying to plan route penn ny to montgomery ny. can you help me?,trying to plan route penn ny to montgomery ny. can you help me?,63,0,1,1
3,7,2,2,7510,"Hi does the 54 Vermonter train go from Newark, no to Hartford, ct without any transfers","Hi does the 54 Vermonter train go from Newark, no to Hartford, ct without any transfers","[Hi ]does the 54 Vermonter train go from Newark[, no ]to Hartford[, ct ]without any transfers",87,13,0.8505747126,0
3,7,2,2,7511,is there a train service from los angeles ca to san franciso ca?,is there a train service from los angeles ca to san franciso ca?,is there a train service from los angeles ca to san franciso ca?,64,0,1,1
3,7,2,2,7512,"I have clicked on the price for a coach seat, but when I enter ""add to cart"" it keeps coming back ""select price."" That's pretty use.less","[I have clicked on the price for a coach seat, ]but when I enter ""add to cart"" it keeps coming back ""select price."" [That's pretty use.less]","I have clicked on the price for a coach seat, but when I enter ""add to cart"" it keeps coming back ""select price."" [That's pretty use.less]",136,46,0.6617647059,1
3,7,2,2,7514,I purchased a ticket for my son this summer that I never used. I am now trying to track down information on the ticket so that I can use it. Can you help?,I purchased a ticket [for my son this summer ]that I never used. I am now trying to track down [information on ]the ticket so that I can use it. [Can you help?],I purchased a ticket[ for my son this summer ]that I never used. I am now trying to track down information on the ticket so that I can use it. [Can you help?],154,15,0.9025974026,1
3,7,2,2,7516,"Hi, I want to travel from Boston (south Station) to NY Penn Station on 5th january at 9:36 pm from Boston. The route is 67 Northeast Regional.","Hi, I want to travel from Boston (south Station) to NY Penn Station on 5th january at 9:36 pm[ from Boston.] The route is 67 Northeast Regional.","[Hi, ]I want to travel from Boston (south Station) to NY Penn Station on 5th january at 9:36 pm [from Boston.] The route is 67 Northeast Regional.",142,4,0.9718309859,1
3,7,2,2,7517,is there a difference in price between upper level & lower level?,is there a difference in price between upper level & lower level?,is there a difference in price between upper level & lower level?,65,0,1,1
3,7,2,2,7518,"on Wednsday, June 22 train numbr 2155 NYC to Washington DC with a first class ticket, is a free meal included ?","on [Wednsday, June 22 ]train numbr 2155 NYC to Washington DC with a first class ticket, is a free meal included ?","[on Wednsday, June 22] train numbr 2155 NYC to Washington DC with a first class ticket, is a free meal included ?",111,2,0.981981982,1
3,7,2,2,7519,do you have seats available for this evening for travel from Chicago to Springfield,do you have seats available for this evening for travel from Chicago to Springfield,[do you ]have seats available for this evening for travel from Chicago to Springfield,83,7,0.9156626506,0
3,7,2,2,7520,"what is the travel time from Houston, TX to Quincy, IL by train?","what is the travel time from Houston, TX to Quincy, IL by train?","what is the travel time from Houston, TX to Quincy, IL by train?",64,0,1,1
3,7,2,2,7521,"I reserved a train trip with one thruway bus seat, I have no information about that reservation on my e-ticket","I reserved a train trip with one thruway bus seat, I have no information about that reservation on my e-ticket","I reserved a train trip with one thruway bus seat, I have no information about that reservation on my e-ticket",110,0,1,1
3,7,2,2,7522,I want to know the cheapest evening train fromNYP to WAS thisFriday.,I want to know the cheapest evening train fromNYP to WAS thisFriday.,I want to know the cheapest evening train fromNYP to WAS thisFriday.,68,0,1,1
3,7,2,2,7524,"I've entered the destination city, the arrival city, the departure date and the time, but when I click find trains, it does not execute the search for me. Is there another way to check availability?","I've entered the destination city, the arrival city, the departure date and the time, but when I click find trains, it does not execute the search for me. [Is there another way to check availability?]","I've entered the destination city, the arrival city, the departure date and the time, but when I click find trains, it does not execute the search for me. [Is there another way to check availability?]",198,0,1,1
3,7,2,2,7525,I am not sure that the trip I just booked went through,I am not sure that the trip I just booked went through,I am not sure that the trip I just booked went through,54,0,1,1
3,7,2,2,7526,Can you get off the train and stay the night in city,Can you get off the train and stay the night in city,Can you get off the train and stay the night in city,52,0,1,1
3,7,2,2,7527,can i take my pet witm me iam planing on traveling from chicago il to salt lake city ut,can i take my pet witm me iam planing on traveling from chicago il to salt lake city ut,can i take my pet witm me [iam planing on traveling from chicago il to salt lake city ut],87,61,0.2988505747,0
3,7,2,2,7528,i want to know what site for cname-- to apply for jobr,i want to know what site for cname-- to apply for jobr,i want to know what site for cname-- to apply for jobr,54,0,1,1
