Annotator A ID,Annotator B ID,Parition ID,Corpora ID,Sentence ID,Text,Annotator A Text,Annotator B Text,Length,Error,Alignment Score,Agreement
3,7,2,3,8506,"If I reword my question, will you ask me to reword my question?","[If I reword my question, ]will you ask me to reword my question?","[If I reword my question, ]will you ask me to reword my question?",63,0,1,1
3,7,2,3,8507,"ARE THERE ANY R-CLASS SEATS AVAILABLE ON ANY cname- ROUTE TO ANYWHERE IN EUROPE IN THE MONTHS OF MAY OR JUNE, 2013?","ARE THERE ANY R-CLASS SEATS AVAILABLE ON ANY cname- ROUTE TO ANYWHERE IN EUROPE IN THE MONTHS OF MAY OR JUNE, 2013?","ARE THERE ANY R-CLASS SEATS AVAILABLE [ON ANY cname- ROUTE ]TO ANYWHERE IN EUROPE IN THE MONTHS OF MAY OR JUNE, 2013?",115,20,0.8260869565,0
3,7,2,3,8508,"I just changed my reservation and get miles refunded, when these refunded mile can be back to my account. thank","[I just changed my reservation and get miles refunded, ]when these refunded mile can be back to my account. thank","[I just changed my reservation and get miles refunded,] when these refunded mile can be back to my account[. thank]",111,7,0.9369369369,1
3,7,2,3,8509,I purchased the ticket on the US Airways website but it was for a cname- flight. Does that make sense. Do I contact US Air?,I purchased the ticket on the US Airways website but it was for a cname- flight. [Does that make sense. ]Do I contact US Air?,[I purchased the ticket on the US Airways website but it was for a cname- flight. Does that make sense]. Do I contact US Air?,123,79,0.3577235772,1
3,7,2,3,8510,"When we try to check in online we are told we cannot, can you tell us why?","When we try to check in online we are told we cannot, can you tell us why?","When we try to check in online we are told we cannot[, can you tell us why?]",74,22,0.7027027027,0
3,7,2,3,8511,"i am a us citizen, can i buy just a one way ticket to brazil?","i am a us citizen, can i buy just a one way ticket to brazil?","[i am a us citizen, ]can i buy just a one way ticket to brazil?",61,19,0.6885245902,0
3,7,2,3,8513,"hi, i wasn't aware of the four hour reporting policy, is there a way to submit damage luggage claim?","hi, i wasn't aware of the four hour reporting policy, is there a way to submit damage luggage claim?","[hi, i wasn't aware of the four hour reporting policy,] is there a way to submit damage luggage claim?",100,53,0.47,0
3,7,2,3,8514,"I have earned 25,406 qualifying miles in 2012 but my status shows member instead of silver why?","I have earned 25,406 qualifying miles in 2012 but my status shows member instead of silver why?","I have earned 25,406 qualifying miles in 2012 but my status shows member instead of silver[ why?]",95,5,0.9473684211,0
3,7,2,3,8515,My husband is on a plane that is about an hour late into DENVER. He will miss his connecting fl to LAS. Can we book him right now on FL 732 leaving DEN at 11:34,My husband is on a plane that is about an hour late into DENVER. He will miss his connecting fl to LAS. Can we book him right now on FL 732 leaving DEN at 11:34,[My husband is on a plane that is about an hour late ]into DENVER. He will miss his connecting fl to LAS. Can we book him right now on FL 732 leaving DEN at 11:34,160,52,0.675,0
3,7,2,3,8516,some songs did not download...would not let me reload...tried to repurchase and would not! GET YOUR SHIT TOGETHER AND REFUND MILES OR LET ME RELOAD SONGS!!!,some songs did not download.[..would not let me reload...tried to repurchase and would not! GET YOUR SHIT TOGETHER AND REFUND MILES OR LET ME RELOAD SONGS!!!],some songs did not download...would not let me reload...tried to repurchase and would not![ GET YOUR SHIT TOGETHER AND REFUND MILES OR LET ME RELOAD SONGS!!!],156,61,0.608974359,1
3,7,2,3,8517,I made reservations and signed up my famiy for the mileage plan award credit.,I made reservations and signed up my famiy for the mileage plan award credit.,I made reservations and signed up my famiy for the mileage plan award credit.,77,0,1,1
